ImageId,fold
20190822070610_20190822070846_tile_3721,0
20190823065938_20190823070236_tile_2141,4
20190823154802_20190823155103_tile_9773,2
20190804122434_20190804122704_tile_6458,3
20190823094036_20190823094408_tile_10244,4
20190822164304_20190822164613_tile_3390,3
20190822083256_20190822083600_tile_10929,2
20190822093113_20190822093410_tile_496,1
20190823152527_20190823152847_tile_5805,2
20190823100628_20190823100943_tile_5430,3
20190823142111_20190823142355_tile_3948,3
20190804133705_20190804133940_tile_5554,4
20190822155502_20190822155747_tile_4652,1
20190823141123_20190823141407_tile_3120,2
20190822153149_20190822153444_tile_1046,0
20190822071501_20190822071737_tile_6719,3
20190822073746_20190822074042_tile_5378,4
20190804132031_20190804132301_tile_9495,0
20190823142111_20190823142355_tile_3943,1
20190823065505_20190823065800_tile_387,4
20190822150221_20190822150509_tile_8525,2
20190804134228_20190804134450_tile_1868,4
20190822160641_20190822160923_tile_4045,1
20190823070415_20190823070716_tile_6365,2
20190822093113_20190822093410_tile_498,3
20190823132244_20190823132535_tile_2799,0
20190804144353_20190804144627_tile_9934,0
20190822163425_20190822163708_tile_6311,3
20190822143107_20190822143418_tile_1534,3
20190822133333_20190822133635_tile_7749,1
20190823070415_20190823070716_tile_6367,0
20190822135802_20190822140055_tile_1761,0
20190822071924_20190822072224_tile_8633,0
20190823141123_20190823141407_tile_3125,0
20190822161837_20190822162134_tile_1593,4
20190823094036_20190823094408_tile_10252,4
20190822150641_20190822150929_tile_9973,4
20190804132547_20190804132826_tile_10867,2
20190822101452_20190822101748_tile_4392,4
20190823094036_20190823094408_tile_10265,2
20190822082047_20190822082347_tile_4332,3
20190804122434_20190804122704_tile_6465,1
20190823141628_20190823141922_tile_8729,3
20190822145028_20190822145325_tile_9230,1
20190822094025_20190822094322_tile_5876,0
20190823090554_20190823090904_tile_5021,0
20190822092149_20190822092450_tile_1705,4
20190822150641_20190822150929_tile_9984,3
20190822160641_20190822160923_tile_4050,0
20190822143613_20190822143904_tile_4924,1
20190822095638_20190822095937_tile_7434,4
20190822071501_20190822071737_tile_6720,0
20190822160641_20190822160923_tile_4049,0
20190822145832_20190822150114_tile_9595,2
20190823065505_20190823065800_tile_382,3
20190822102956_20190822103254_tile_4099,3
20190804113605_20190804113825_tile_9013,1
20190822074720_20190822075013_tile_10044,1
20190822134835_20190822135131_tile_4483,0
20190822141103_20190822141406_tile_4966,1
20190804120805_20190804121023_tile_6214,3
20190822071025_20190822071321_tile_722,2
20190823081159_20190823081456_tile_5215,3
20190823145306_20190823145612_tile_7220,0
20190822162621_20190822162906_tile_5665,4
20190822065241_20190822065541_tile_2574,2
20190822143107_20190822143418_tile_1538,3
20190822100953_20190822101249_tile_8840,0
20190823093023_20190823093332_tile_8947,3
20190823084527_20190823084841_tile_10545,1
20190823161251_20190823161546_tile_8299,0
20190822133333_20190822133635_tile_7764,2
20190822160239_20190822160529_tile_3881,1
20190823144405_20190823144711_tile_3341,0
20190822074237_20190822074521_tile_4753,3
20190804135332_20190804135556_tile_7157,4
20190822080619_20190822080931_tile_231,0
20190823131240_20190823131533_tile_7538,3
20190804115720_20190804115941_tile_9549,2
20190823141628_20190823141922_tile_8727,3
20190823075755_20190823080053_tile_10772,0
20190823160351_20190823160645_tile_8191,3
20190823161806_20190823162129_tile_2734,3
20190804133131_20190804133356_tile_776,2
20190804132547_20190804132826_tile_10877,1
20190823073526_20190823073827_tile_7488,2
20190822083256_20190822083600_tile_10923,2
20190823141628_20190823141922_tile_8744,1
20190822143613_20190822143904_tile_4910,0
